Altium Designer Pick and Place Locations
C:\Users\Vrajm\Documents\UTulsa\Grad-F25\PCB Design\Assignments\P1\Modi - P1\H05R2x-Hardware\Design\Project Outputs for H05R2x\Pick Place for H05R2x.txt

========================================================================================================================
File Design Information:

Date:       01/12/25
Time:       14:03
Revision:   86c7ae71e01058eb0df0f8ebd7e4cb2827ca6371
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                       
J3         B2B-PH-SM4-TBT(LF)(SN)     TopLayer    FP-B2B-PH-SM4-TBT_LF_SN-MFG 13.8154      3.3051       0        "CONN HEADER SMD 2POS 2MM"                                                                                        
J2         BM02B-GHS-TBT(LF)(SN)      TopLayer    FP-BM02B-GHS-TBT_LF_SN-MFG  24.7814      -1.4135      90       "CONN HEADER SMD 2POS 1.25MM"                                                                                     
U3         MCP1755ST-5002E/DB         TopLayer    FP-C04-032-IPC_B            23.4869      5.2688       0        "IC REG LINEAR 5V 300MA SOT223-3"                                                                                 
U2         MCP6001T-E/OT              BottomLayer SOT-23-OT5_L                7.6844       -6.1422      180      None                                                                                                              
U1         MCP73830LT-0AAI/MYY        BottomLayer FP-C04-078-IPC_C            17.8070      -11.3108     180      "IC BATT CHG LI-ION 1CELL 6TDFN"                                                                                  
R4         "10kO, 1% 0402"            TopLayer    RESC1005X40X25LL10T10       -16.0275     -12.9411     90       ""                                                                                                                
R10        "1kO ±1% 0402"             BottomLayer FP-RNCP0402-IPC_C           6.9104       5.7983       90       "1kO ±1% 0.1W 0402 High Power Anti-Sulfur Thin Film Chip Resistor"                                                
R2         "1kO ±1% 0402"             BottomLayer FP-RNCP0402-IPC_C           1.3830       -1.8079      0        "1kO ±1% 0.1W 0402 High Power Anti-Sulfur Thin Film Chip Resistor"                                                
R1         " 20kO, 1%, 0402"          BottomLayer FP-TFCR0402-IPC_A           -2.8876      -1.1050      270      "RES Thin Film,  20kO, 1%, 0.063W, 50ppm/°C, 0402"                                                                
R7         "0.1O 1% 0402"             TopLayer    FP-CSR0402-IPC_A            19.5644      10.1014      0        "General Purpose Thick Film Chip Resistor, 0402, 0.1O, 1%, 200ppm/°C, 0.125W"                                     
R11        "11kO, 1%, 0402"           BottomLayer FP-CRCW0402-e3-IPC_B        15.6375      -13.3816     90       "RES Thick Film, 11kO, 1%, 0.063W, 100ppm/°C, 0402"                                                               
R9         "1kO ±1% 0.1W 0402"        TopLayer    FP-RNCP0402-IPC_C           9.2127       -11.8666     270      "1kO ±1% 0.1W 0402 High Power Anti-Sulfur Thin Film Chip Resistor"                                                
R5         "1.2kO 1% 0402"            TopLayer    FP-MCS0402-IPC_C            15.3337      -2.6082      0        "RES SMD 1.2K OHM 1% 1/10W 0402"                                                                                  
R12        "1kO ±1% 0402"             TopLayer    FP-AC0402-IPC_C             22.3751      -10.2599     270      "RES 1kO ±1% 0.063W 0402"                                                                                         
R6         "3.9kO ±1% 0402"           TopLayer    FP-RN73R1E-IPC_C            6.3539       -10.0297     180      "3.9kO ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thin Film"                           
R8         "11kO 1% 0402"             TopLayer    FP-CRCW0402-e3-IPC_B        12.7735      -5.8370      180      "RES Thick Film, 11kO, 1%, 0.063W, 100ppm/°C, 0402"                                                               
Q2         2N7002-7-F                 TopLayer    FP-SOT23-MFG                -9.2851      -8.3229      0        "MOSFET N-CH 60V 115MA SOT23-3"                                                                                   
Q1         2N7002-7-F                 TopLayer    FP-SOT23-MFG                -7.5122      -3.5594      90       "MOSFET N-CH 60V 115MA SOT23-3"                                                                                   
L1         "47µH ±5% 10.4O 55mA 1206" TopLayer    FP-LQH31CN_03-MFG           1.4495       2.5581       270      "Wire Wound Ferrite Inductor for General Circuits 47µH ±5% 10.4O 55mA 1206"                                       
D1         MBR0540T1G                 TopLayer    ONSC-SOD-123-2-425-04_V     7.8357       5.6943       270      "Schottky Power Rectifier, 2-Pin SOD-123, Pb-Free, Tape and Reel"                                                 
